timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
861832000,-0.46694702,32.068146,-12.1801605,-1.2737566,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
862036000,-0.46694702,32.068146,-12.1801605,-1.2757394,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
862236000,-0.46694702,32.068146,-12.1801605,-1.2758476,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
862428000,-0.46694702,32.068146,-12.1801605,-1.2767898,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
862632000,-0.46694702,32.068146,-12.1801605,-1.2746943,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
862836000,-0.46694702,32.068146,-12.1801605,-1.2755,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
863036000,-0.46694702,32.068146,-12.1801605,-1.277474,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
863240000,-0.46694702,32.068146,-12.1801605,-1.277716,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
863440000,-0.46694702,32.068146,-12.1801605,-1.278174,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
863640000,-0.46694702,32.068146,-12.1801605,-1.2766778,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
863852000,-0.46694702,32.068146,-12.1801605,-1.2777544,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
864056000,-0.46694702,32.068146,-12.1801605,-1.2785463,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
864220000,-0.46694702,32.068146,-12.1801605,-1.2785977,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
864424000,-0.46694702,32.068146,-12.1801605,-1.2787861,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
864660000,-0.46694702,32.068146,-12.1801605,-1.2789612,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
864856000,-0.46694702,32.068146,-12.1801605,-1.2777349,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
