timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
873992000,1694470225639612,0,416066991,-863552170,241574,241574,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.01,0.04,0.04,1.9797269,0,nan,nan,0.0,0,3,0,1,10
874824000,1694470226471612,0,416066987,-863552168,241537,241537,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.01,0.02,0.0,2.1436133,0,nan,nan,0.0,0,3,0,1,10
875812000,1694470227451612,0,416067001,-863552158,241563,241563,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.62,0.61,0.13,-0.14999999,0.2206096,0,nan,nan,0.0,0,3,0,1,10
876800000,1694470228443611,0,416067128,-863552140,241688,241688,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.06,2.07,0.17,-0.089999996,0.08325221,0,nan,nan,0.0,0,3,0,1,10
877804000,1694470229447612,0,416067341,-863552120,241759,241759,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.51,2.49,0.19,0.0,0.07644542,0,nan,nan,0.0,0,3,0,1,10
878828000,1694470230475612,0,416067577,-863552094,241768,241768,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.49,2.48,0.19999999,0.02,0.082205005,0,nan,nan,0.0,0,3,0,1,10
879812000,1694470231463611,0,416067733,-863552073,241633,241633,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.09,1.0799999,0.13,0.28,0.1277581,0,nan,nan,0.0,0,3,0,1,10
880804000,1694470232451612,0,416067780,-863552060,240827,240827,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.16,-0.14999999,0.08,1.1,2.6352725,0,nan,nan,0.0,0,3,0,1,10
881792000,1694470233435612,0,416067750,-863552056,239943,239943,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.39999998,-0.41,-0.01,0.83,3.1885421,0,nan,nan,0.0,0,3,0,1,10
882624000,1694470234267612,0,416067721,-863552062,239213,239213,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.32999998,-0.32,-0.11,0.91999996,3.4686673,0,nan,nan,0.0,0,3,0,1,10
883820000,1694470235467612,0,416067701,-863552074,238123,238123,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,-0.04,-0.06,0.85999995,4.073773,0,nan,nan,0.0,0,3,0,1,10
884808000,1694470236455612,0,416067702,-863552078,237252,237252,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.02,-0.03,0.87,5.2110295,0,nan,nan,0.0,0,3,0,1,10
