timestamp,actual_yaw_rate,expected_yaw_rate,yaw_rate_diff
1743177536613379,-0.56938905,0.010545698,-0.579934748
1743177536625379,-0.537002,0.010545698,-0.547547698
1743177536633379,-0.5229748,0.010545698,-0.533520498
1743177536645379,-0.5380828,0.008072533,-0.546155333
1743177536653379,-0.5157997,0.008072533,-0.523872233
1743177536665379,-0.4885565,0.008072533,-0.496629033
1743177536673379,-0.48007762,0.008072533,-0.488150153
1743177536685379,-0.45604202,0.008072533,-0.464114553
1743177536693379,-0.45502004,0.0066737207,-0.4616937607
1743177536705379,-0.42556313,0.0066737207,-0.4322368507
1743177536713379,-0.43030462,0.0066737207,-0.4369783407
1743177536725379,-0.41691422,0.0066737207,-0.4235879407
1743177536733379,-0.40307182,0.0066737207,-0.4097455407
1743177536745379,-0.37765083,0.0049261567,-0.3825769867
1743177536753379,-0.36542457,0.0049261567,-0.3703507267
1743177536765379,-0.35215345,0.0049261567,-0.3570796067
1743177536773379,-0.33659577,0.0049261567,-0.34152192670000003
1743177536785379,-0.29728314,0.0049261567,-0.3022092967
1743177536793379,-0.29672265,0.00377088,-0.30049352999999995
1743177536805379,-0.28383526,0.00377088,-0.28760613999999995
1743177536813379,-0.26327187,0.00377088,-0.26704275
1743177536825379,-0.22961058,0.00377088,-0.23338146
1743177536833379,-0.22143239,0.00377088,-0.22520327
1743177536845379,-0.2072971,0.0031174603,-0.21041456030000003
1743177536853379,-0.20454133,0.0031174603,-0.2076587903
1743177536865379,-0.16973583,0.0031174603,-0.17285329030000002
1743177536873379,-0.1612404,0.0031174603,-0.16435786030000002
1743177536885379,-0.15393844,0.0031174603,-0.15705590030000002
1743177536893379,-0.14024283,0.0025772653,-0.1428200953
1743177536905379,-0.10765777,0.0025772653,-0.1102350353
1743177536913379,-0.09409464,0.0025772653,-0.0966719053
1743177536925379,-0.07746378,0.0025772653,-0.0800410453
1743177536933379,-0.06672858,0.0025772653,-0.0693058453
1743177536945379,-0.05632698,0.0019023889,-0.0582293689
1743177536953379,-0.03297888,0.0019023889,-0.034881268900000005
1743177536965379,-0.026023896,0.0019023889,-0.0279262849
1743177536973379,-0.010036039,0.0019023889,-0.0119384279
1743177536985379,0.012020223,0.0019023889,0.0101178341
1743177536993379,0.010725136,-0.13463789,0.145363026
1743177537005379,0.027298247,-0.13463789,0.161936137
1743177537013379,0.041421983,-0.13463789,0.176059873
1743177537025379,0.0652765,-0.13463789,0.19991439
1743177537033379,0.07740872,-0.13463789,0.21204661000000002
1743177537045379,0.08865337,-0.24740192,0.33605529
1743177537053379,0.10080038,-0.24740192,0.34820229999999996
1743177537065379,0.107400194,-0.24740192,0.354802114
1743177537073379,0.11841388,-0.24740192,0.3658158
1743177537085379,0.124943145,-0.24740192,0.372345065
1743177537093379,0.13649267,-0.34062615,0.47711882000000005
1743177537105379,0.14318772,-0.34062615,0.48381387
1743177537113379,0.13627432,-0.34062615,0.47690047
1743177537125379,0.13857494,-0.34062615,0.47920109
1743177537133379,0.15493226,-0.34062615,0.49555841
1743177537145379,0.15249458,-0.45709306,0.60958764
1743177537153379,0.14125466,-0.45709306,0.59834772
1743177537165379,0.15675355,-0.45709306,0.61384661
1743177537173379,0.15085746,-0.45709306,0.6079505199999999
1743177537185379,0.1369833,-0.45709306,0.59407636
1743177537193379,0.13250796,-0.51398194,0.6464899
1743177537205379,0.12368975,-0.51398194,0.63767169
1743177537213379,0.10714939,-0.51398194,0.62113133
1743177537225379,0.10255634,-0.51398194,0.61653828
1743177537233379,0.10294752,-0.51398194,0.6169294599999999
1743177537245379,0.07973878,-0.57763416,0.65737294
1743177537253379,0.05326235,-0.57763416,0.63089651
1743177537265379,0.03606935,-0.57763416,0.61370351
1743177537273379,0.019763669,-0.57763416,0.597397829
1743177537285379,0.0010528876,-0.57763416,0.5786870476
1743177537293379,-0.013913376,-0.6136356,0.599722224
1743177537305379,-0.03688412,-0.6136356,0.57675148
1743177537313379,-0.061840925,-0.6136356,0.5517946749999999
1743177537325379,-0.08355922,-0.6136356,0.5300763799999999
1743177537333379,-0.09650659,-0.6136356,0.5171290099999999
1743177537345379,-0.14262749,-0.6586129,0.51598541
1743177537353379,-0.15826476,-0.6586129,0.5003481399999999
1743177537365379,-0.19905536,-0.6586129,0.45955753999999993
1743177537373379,-0.218797,-0.6586129,0.4398158999999999
1743177537385379,-0.25067717,-0.6586129,0.40793572999999994
1743177537393379,-0.27429372,-0.68834645,0.41405273000000004
