timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1743177450365379,1743177450213379,171865803351,0.004588353,0.0018046948,0.0031539071,0,0.27834436,0.17426491,0.016352972,0.0011364636,6.953866e-05,0.00511155,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.5705,67.84404,0.48987928,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450373379,1743177450221379,171865803351,0.004479963,0.001765025,0.0030756947,0,0.27845982,0.17460531,0.016352972,0.0011364636,6.953866e-05,0.00511155,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.5705,67.84404,0.48987928,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450381379,1743177450229379,171865803351,0.0043711723,0.001726414,0.0029995993,0,0.2785823,0.1749556,0.016352972,0.0011364636,6.953866e-05,0.00511155,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.5705,67.84404,0.48987928,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450389379,1743177450237379,171865803351,0.0042617987,0.0016888594,0.0029252146,0,0.2787119,0.17531574,0.016352972,0.0011364636,6.953866e-05,0.00511155,nan,nan,nan,0.0,1310988,1310988,6620172,197388,68.5705,67.84404,0.48987928,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450405379,1743177450253379,171865803351,0.0027565807,0.0016600782,0.0035631612,0,0.27899304,0.17584425,0.014575584,0.0011364636,6.953866e-05,0.005953999,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.89612,67.84404,0.49368203,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450413379,1743177450261379,171865803351,0.0026310356,0.0022547685,0.0037349083,0,0.2594437,0.17070708,0.014575584,0.0008807771,8.032918e-05,0.0059369896,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.89612,67.84404,0.49368203,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450421379,1743177450269379,171865803351,0.0025274123,0.0022022354,0.0036378086,0,0.25957027,0.1710487,0.014575584,0.0008807771,8.032918e-05,0.0059369896,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.89612,67.84404,0.49368203,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450429379,1743177450277379,171865803351,0.0024232173,0.002152269,0.0035436924,0,0.2597039,0.17139906,0.014575584,0.0008807771,8.032918e-05,0.0059369896,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.89612,67.84404,0.49368203,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450445379,1743177450293379,171865803351,0.0022150644,0.0020572143,0.003361676,0,0.25999284,0.17212583,0.014575584,0.0008807771,8.032918e-05,0.0059369896,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.89612,67.84404,0.49368203,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
1743177450453379,1743177450301379,171865803351,0.0021122906,0.0020110582,0.0032592833,0,0.26014847,0.17229332,0.014575584,0.0008807771,8.032918e-05,0.0056730723,nan,nan,nan,0.0,1310988,1310988,6620172,197388,67.89612,67.84404,0.49368203,0.49967092,0,959,3,2,4,3,1,0,0,0,0,0,0,0,0
