timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1743177485693379,1743177485693379,1310988,1310988,-0.000105461964,8.841799e-05,-0.00060187414,-0.002403779,8.619196e-05,-0.039600104,4000,4000,0,0,0,1
1743177486193379,1743177486193379,1310988,1310988,-4.261059e-05,3.3023087e-05,-6.4981185e-05,-0.0020446482,-8.619058e-05,-0.039585732,4000,4000,0,0,0,1
1743177486693379,1743177486693379,1310988,1310988,-2.2370521e-05,4.5806384e-05,6.3916664e-06,-0.001565808,0.00018674844,-0.0396432,4000,4000,0,0,0,1
1743177487193379,1743177487193379,1310988,1310988,-6.391614e-05,-3.941349e-05,-0.0003206448,-0.0011731591,0.0002825165,-0.03962404,4000,4000,0,0,0,1
1743177487693379,1743177487693379,1310988,1310988,7.243893e-05,-5.326276e-05,-0.0004878911,-0.0008092403,0.00021069044,-0.03909732,4000,4000,0,0,0,1
1743177488193379,1743177488193379,1310988,1310988,5.006705e-05,-0.00010013518,-0.00043462787,-0.00073262583,0.00022505566,-0.039327163,4000,4000,0,0,0,1
1743177488693379,1743177488693379,1310988,1310988,6.391362e-06,-0.00013422233,-0.0005326325,-0.0004692636,0.00024420928,-0.039360676,4000,4000,0,0,0,1
1743177489193379,1743177489193379,1310988,1310988,-0.0013827134,-0.00051878445,-0.00015552797,-0.0003782839,0.0003926498,-0.039628834,4000,4000,0,0,0,1
1743177489693379,1743177489693379,1310988,1310988,0.0011781888,-0.0017832551,-0.0048533427,-0.00071826053,9.098034e-05,-0.038187522,4000,4000,0,0,0,1
1743177490193379,1743177490193379,1310988,1310988,-0.00033767088,0.0023212144,-0.00017789654,-0.0013024457,-9.576738e-05,-0.03963841,4000,4000,0,0,0,1
1743177490693379,1743177490693379,1310988,1310988,-0.0010737934,0.0014956308,0.0028048393,-0.0017956514,0.00011013398,-0.039619252,4000,4000,0,0,0,1
1743177491193379,1743177491193379,1310988,1310988,0.0004676549,-0.00076166244,-0.0013731255,-0.001374272,-2.3941335e-05,-0.039082948,4000,4000,0,0,0,1
1743177491693379,1743177491693379,1310988,1310988,3.6215533e-05,-0.00022263665,-0.0013933666,-0.0014125791,-2.3941324e-05,-0.03970545,4000,4000,0,0,0,1
1743177492193379,1743177492193379,1310988,1310988,0.0015723403,0.00064767065,0.0020932406,-0.0010151415,-5.7460144e-05,-0.04011724,4000,4000,0,0,0,1
1743177492693379,1743177492693379,1310988,1310988,0.0010120032,-0.001560642,0.005852555,-0.001115698,0.00024899768,-0.039308008,4000,4000,0,0,0,1
1743177493193379,1743177493193379,1310988,1310988,-0.00050387986,0.0003323608,0.002639724,-0.0010438721,0.0011731598,-0.04218584,4000,4000,0,0,0,1
1743177493693379,1743177493693379,1310988,1310988,9.59016e-06,-0.00033023252,-0.0032224255,-0.0028778305,0.0014317335,-0.038474824,4000,4000,0,0,0,1
1743177494193379,1743177494193379,1310988,1310988,-0.0001683077,0.0010098713,-0.0010769827,-0.0061770403,0.00024420928,-0.039293647,4000,4000,0,0,0,1
1743177494693379,1743177494693379,1310988,1310988,-2.3434737e-05,-0.00037710118,0.0014679353,-0.007067684,0.00035434257,-0.038800437,4000,4000,0,0,0,1
1743177495193379,1743177495193379,1310988,1310988,-5.3260355e-06,-0.0001853563,9.374276e-05,-0.006588844,0.0012401972,-0.03887705,4000,4000,0,0,0,1
