timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1743177478053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177479053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177480053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177481053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177482053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177483053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177484053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177485053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177486053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177487053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177488053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177489053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177490053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177491053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177492053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177493053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177494053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177495053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177496053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177497053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177498053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177499053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177500053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177501053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177502053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177503053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177504053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177505053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177506053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177507053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177508053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177509053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177510053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177511053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177512053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177513053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177514053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177515053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177516053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177517053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177518053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177519053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177520053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177521053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177522053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177523053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177524053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177525053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177526053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177527053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177528053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177529053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177530053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177531053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177532053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177533053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177534053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177535053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177536053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177537053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177538053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177539053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177540053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177541053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
