timestamp,nav_state,failure
1743177550293379,3,0
1743177550797379,3,0
1743177551301379,3,0
1743177551805379,3,0
1743177552309379,3,0
1743177552813379,3,0
1743177553317379,3,0
1743177553821379,3,0
1743177554325379,3,0
1743177554829379,3,0
1743177555333379,3,0
1743177555837379,3,0
1743177556341379,3,0
1743177556845379,3,0
1743177557349379,3,0
1743177557853379,3,0
1743177558357379,3,0
1743177558861379,3,0
1743177559365379,3,0
1743177559869379,3,0
1743177560373379,3,0
1743177560877379,3,0
1743177561381379,3,0
1743177561885379,3,0
1743177562389379,3,0
1743177562893379,3,0
1743177563397379,3,0
1743177563901379,3,0
1743177564405379,3,0
1743177564909379,3,0
1743177565413379,3,0
1743177565917379,3,0
1743177566421379,3,0
1743177566925379,3,0
1743177567429379,3,0
1743177567933379,3,0
1743177568437379,3,0
1743177568941379,3,0
1743177569445379,3,0
1743177569949379,3,0
1743177570453379,3,0
1743177570957379,3,0
1743177571461379,3,0
1743177571637379,4,0
1743177571661379,18,0
1743177572173379,18,0
1743177572677379,18,0
1743177573181379,18,0
1743177573685379,18,0
1743177574189379,18,0
1743177574693379,18,0
1743177575197379,18,0
1743177575701379,18,0
1743177576205379,18,0
1743177576709379,18,0
1743177577213379,18,0
1743177577717379,18,0
1743177578221379,18,0
1743177578725379,18,0
1743177579229379,18,0
1743177579733379,18,0
1743177580237379,18,0
1743177580741379,18,0
1743177581245379,18,0
1743177581749379,18,0
1743177582253379,18,0
1743177582757379,18,0
1743177583261379,18,0
1743177583765379,18,0
1743177584269379,18,0
1743177584773379,18,0
1743177585277379,18,0
1743177585781379,18,0
1743177586285379,18,0
1743177586789379,18,0
1743177587293379,18,0
1743177587797379,18,0
1743177588301379,18,0
1743177588805379,18,0
1743177589309379,18,0
1743177589813379,18,0
1743177590317379,18,0
1743177590821379,18,0
1743177591325379,18,0
1743177591829379,18,0
1743177592333379,18,0
1743177592837379,18,0
1743177593341379,18,0
1743177593845379,18,0
1743177594349379,18,0
1743177594853379,18,0
1743177595357379,18,0
1743177595861379,18,0
1743177596365379,18,0
