timestamp,previous.timestamp,previous.lat,previous.lon,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.loiter_radius,previous.loiter_minor_radius,previous.loiter_orientation,previous.acceptance_radius,previous.alt_acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.loiter_direction_counter_clockwise,previous.loiter_pattern,previous.gliding_enabled,previous._padding0[0],previous._padding0[1],previous._padding0[2],current.timestamp,current.lat,current.lon,current.vx,current.vy,current.vz,current.alt,current.yaw,current.loiter_radius,current.loiter_minor_radius,current.loiter_orientation,current.acceptance_radius,current.alt_acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.loiter_direction_counter_clockwise,current.loiter_pattern,current.gliding_enabled,current._padding0[0],current._padding0[1],current._padding0[2],next.timestamp,next.lat,next.lon,next.vx,next.vy,next.vz,next.alt,next.yaw,next.loiter_radius,next.loiter_minor_radius,next.loiter_orientation,next.acceptance_radius,next.alt_acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.loiter_direction_counter_clockwise,next.loiter_pattern,next.gliding_enabled,next._padding0[0],next._padding0[1],next._padding0[2]
1743177458537379,1743177458501379,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1743177458537379,52.514858174387484,13.32542463464606,0.0,0.0,0.0,0.12844267,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0
1743177458557379,1743177458501379,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1743177458537379,52.514858174387484,13.32542463464606,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0
1743177469453379,1743177458537379,52.514858174387484,13.32542463464606,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,1743177469453379,52.5148589,13.325424199999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177470005379,1743177469453379,52.5148589,13.325424199999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177470005379,52.5148589,13.3253799,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177473381379,1743177470005379,52.5148589,13.3253799,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177473381379,52.514733,13.325173,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177481349379,1743177473381379,52.514733,13.325173,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177481349379,52.514733,13.324862699999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177488957379,1743177481349379,52.514733,13.324862699999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177488957379,52.514714999999995,13.3248331,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177491877379,1743177488957379,52.514714999999995,13.3248331,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177491877379,52.514714999999995,13.3243455,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177502413379,1743177491877379,52.514714999999995,13.3243455,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177502413379,52.5146161,13.3241829,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177509165379,1743177502413379,52.5146161,13.3241829,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177509165379,52.5146161,13.3240942,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177512893379,1743177509165379,52.5146161,13.3240942,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177512893379,52.514589099999995,13.324049899999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177516325379,1743177512893379,52.514589099999995,13.324049899999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177516325379,52.514589099999995,13.323547399999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177527357379,1743177516325379,52.514589099999995,13.323547399999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177527357379,52.5145711,13.323517899999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
