timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
1743177487505379,0,0,0,0,0
1743177488009379,0,0,0,0,0
1743177488513379,0,0,0,0,0
1743177489017379,0,0,0,0,0
1743177489521379,0,0,0,0,0
1743177490025379,0,0,0,0,0
1743177490529379,0,0,0,0,0
1743177491033379,0,0,0,0,0
1743177491537379,0,0,0,0,0
1743177492041379,0,0,0,0,0
1743177492545379,0,0,0,0,0
1743177493049379,0,0,0,0,0
1743177493553379,0,0,0,0,0
1743177494057379,0,0,0,0,0
1743177494561379,0,0,0,0,0
1743177495065379,0,0,0,0,0
1743177495569379,0,0,0,0,0
1743177496073379,0,0,0,0,0
1743177496577379,0,0,0,0,0
1743177497081379,0,0,0,0,0
1743177497585379,0,0,0,0,0
1743177498089379,0,0,0,0,0
1743177498593379,0,0,0,0,0
1743177499097379,0,0,0,0,0
1743177499601379,0,0,0,0,0
1743177500105379,0,0,0,0,0
1743177500609379,0,0,0,0,0
1743177501113379,0,0,0,0,0
1743177501617379,0,0,0,0,0
1743177502121379,0,0,0,0,0
1743177502625379,0,0,0,0,0
1743177503129379,0,0,0,0,0
1743177503633379,0,0,0,0,0
1743177504137379,0,0,0,0,0
1743177504641379,0,0,0,0,0
1743177505145379,0,0,0,0,0
1743177505649379,0,0,0,0,0
1743177506153379,0,0,0,0,0
1743177506657379,0,0,0,0,0
1743177507161379,0,0,0,0,0
1743177507665379,0,0,0,0,0
1743177508169379,0,0,0,0,0
1743177508673379,0,0,0,0,0
1743177509177379,0,0,0,0,0
1743177509681379,0,0,0,0,0
1743177510185379,0,0,0,0,0
1743177510689379,0,0,0,0,0
1743177511193379,0,0,0,0,0
1743177511697379,0,0,0,0,0
1743177512201379,0,0,0,0,0
1743177512705379,0,0,0,0,0
1743177513209379,0,0,0,0,0
1743177513713379,0,0,0,0,0
1743177514217379,0,0,0,0,0
1743177514721379,0,0,0,0,0
1743177515225379,0,0,0,0,0
1743177515729379,0,0,0,0,0
1743177516233379,0,0,0,0,0
1743177516737379,0,0,0,0,0
1743177517241379,0,0,0,0,0
1743177517745379,0,0,0,0,0
1743177518249379,0,0,0,0,0
1743177518753379,0,0,0,0,0
1743177519257379,0,0,0,0,0
1743177519761379,0,0,0,0,0
1743177520265379,0,0,0,0,0
1743177520769379,0,0,0,0,0
1743177521273379,0,0,0,0,0
1743177521777379,0,0,0,0,0
1743177522281379,0,0,0,0,0
1743177522785379,0,0,0,0,0
1743177523289379,0,0,0,0,0
1743177523793379,0,0,0,0,0
1743177524297379,0,0,0,0,0
1743177524801379,0,0,0,0,0
1743177525305379,0,0,0,0,0
1743177525809379,0,0,0,0,0
1743177526313379,0,0,0,0,0
1743177526817379,0,0,0,0,0
1743177527321379,0,0,0,0,0
1743177527825379,0,0,0,0,0
1743177528329379,0,0,0,0,0
1743177528833379,0,0,0,0,0
1743177529337379,0,0,0,0,0
1743177529841379,0,0,0,0,0
1743177530345379,0,0,0,0,0
1743177530849379,0,0,0,0,0
1743177531353379,0,0,0,0,0
1743177531857379,0,0,0,0,0
1743177532361379,0,0,0,0,0
1743177532865379,0,0,0,0,0
1743177533369379,0,0,0,0,0
1743177533873379,0,0,0,0,0
1743177534377379,0,0,0,0,0
1743177534881379,0,0,0,0,0
1743177535385379,0,0,0,0,0
1743177535889379,0,0,0,0,0
1743177536393379,0,0,0,0,0
1743177536897379,0,0,0,0,0
1743177537401379,0,0,0,0,0
1743177537905379,0,0,0,0,0
1743177538409379,0,0,0,0,0
1743177538913379,0,0,0,0,0
1743177539417379,0,0,0,0,0
1743177539921379,0,0,0,0,0
1743177540425379,0,0,0,0,0
1743177540929379,0,0,0,0,0
1743177541433379,0,0,0,0,0
1743177541937379,0,0,0,0,0
1743177542441379,0,0,0,0,0
1743177542945379,0,0,0,0,0
1743177543449379,0,0,0,0,0
