timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
21770148000,4000000.0,1.0,25162.352,0.0,9891453,0,697.2112,915755,16230,0,0,0,0.017723082,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21771144000,4000000.0,1.0,26065.738,0.0,9891904,0,697.2112,915783,16230,0,0,0,0.01772254,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21772140000,4000000.0,1.0,25247.014,0.0,9892348,0,723.1076,915811,16230,0,0,0,0.017721998,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21773144000,4000000.0,1.0,25306.773,0.0,9892802,0,697.2112,915839,16230,0,0,0,0.017721456,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21774148000,4000000.0,1.0,25283.865,0.0,9893254,0,697.2112,915867,16230,0,0,0,0.017720914,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21775144000,4000000.0,1.0,25406.375,0.0,9893703,0,697.2112,915895,16230,0,0,0,0.017720371,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21776144000,4000000.0,1.0,25347.61,0.0,9894153,0,697.2112,915923,16230,0,0,0,0.01771983,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21777140000,4000000.0,1.0,25499.004,0.0,9894603,0,725.0996,915951,16230,0,0,0,0.01771929,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21778140000,4000000.0,1.0,25087.65,0.0,9895050,0,697.2112,915979,16230,0,0,0,0.017718747,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21779092000,4000000.0,1.0,25723.107,0.0,9895486,0,737.0518,916007,16230,0,0,0,0.017718205,0,2,0,1,1,1,57,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
