timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
21737244000,4000.0,0.13674296,3521.9124,0.0,1382241,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21738244000,4000.0,0.13674296,3979.0837,0.0,1382310,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21738496000,4000.0,0.13674296,3979.0837,0.0,1382325,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21739756000,4000.0,0.13674296,3826.6934,0.0,1382406,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21741012000,4000.0,0.13674296,3512.9482,0.0,1382479,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21742268000,4000.0,0.13674296,3696.2153,0.0,1382559,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21743268000,4000.0,0.13674296,3797.8088,0.0,1382628,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21743520000,4000.0,0.13674296,3797.8088,0.0,1382642,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21744772000,4000.0,0.13674296,3398.4065,0.0,1382721,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21746032000,4000.0,0.13674296,3777.8887,0.0,1382791,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21747284000,4000.0,0.13674296,3552.789,0.0,1382872,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21748284000,4000.0,0.13674296,3679.283,0.0,1382932,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21748536000,4000.0,0.13674296,3679.283,0.0,1382950,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21749796000,4000.0,0.13674296,4038.8447,0.0,1383030,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21751052000,4000.0,0.13674296,3723.1077,0.0,1383108,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21752308000,4000.0,0.13674296,3398.4065,0.0,1383191,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21753308000,4000.0,0.13674296,3512.9482,0.0,1383247,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21753560000,4000.0,0.13674296,3512.9482,0.0,1383270,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21754816000,4000.0,0.13674296,3369.522,0.0,1383339,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21756072000,4000.0,0.13674296,3816.7332,0.0,1383419,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
