timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
21817520000,-0.0029294677,0.011717913,0.001065271,4000,0,0.015035701,-0.1611261,-9.630415,4000,0,20,0
21817524000,0.0002663225,0.014381074,0.0029294626,4000,0,0.028203808,-0.15394354,-9.680691,4000,0,20,0
21817532000,0.0023968155,0.007989487,-0.006657911,4000,0,0.060525533,-0.09648268,-9.687876,4000,0,20,0
21817536000,0.0071905283,0.0069242106,-0.00852213,4000,0,0.015035701,-0.09887687,-9.642384,4000,0,20,0
21817540000,0.0047937,0.009054754,-0.007190525,4000,0,-0.019680236,-0.11683338,-9.635201,4000,0,20,0
21817548000,-0.0029294684,0.0045273807,0.0010652672,4000,0,0.049751624,-0.1264102,-9.766882,4000,0,20,0
21817552000,0.0055926414,0.0039947466,0.0031957813,4000,0,0.030598007,-0.118030496,-9.790827,4000,0,20,0
21817560000,-0.096672736,0.0077230716,0.010120223,4000,0,0.04975163,-0.21379855,-10.380997,4000,0,20,0
21817564000,-0.1797634,0.011717818,0.015979052,4000,0,-0.03284834,-0.17908262,-10.212204,4000,0,20,0
21817572000,0.24740762,0.00958742,-0.018110413,4000,0,0.08686175,0.08068827,-9.507113,4000,0,20,0
21817576000,0.102265425,0.006391409,-0.005326123,4000,0,0.060525533,-0.24971162,-8.944473,4000,0,20,0
21817580000,-0.010386308,0.0101199495,0.0023972124,4000,0,-0.066367164,-0.26766813,-9.137209,4000,0,20,0
21817584000,-0.004793708,0.015180009,-0.001864249,4000,0,-0.11305412,-0.04141602,-9.902155,4000,0,20,0
21817588000,0.0018642141,0.012783171,-0.0013316103,4000,0,-0.05200196,0.050760742,-9.861454,4000,0,20,0
21817592000,0.014913712,0.009587373,0.00079889107,4000,0,-0.005315021,0.016044818,-9.792023,4000,0,20,0
21817596000,0.02237056,0.010918961,0.0013315638,4000,0,-0.0077092163,-0.053387035,-9.746532,4000,0,20,0
21817600000,0.024501087,0.011717905,0.0021305277,4000,0,0.012641493,-0.1311986,-9.782446,4000,0,20,0
21817604000,0.027430572,0.012250527,0.004261051,4000,0,0.065313935,-0.19225074,-9.812374,4000,0,20,0
21817608000,0.028762149,0.014114738,0.0063915993,4000,0,0.08925596,-0.20302464,-9.798006,4000,0,20,0
21817612000,0.031957924,0.011717959,0.0018641753,4000,0,0.04855453,-0.17908262,-9.782446,4000,0,20,0
21817616000,0.036751617,0.0063916384,-0.002663237,4000,0,-0.016088923,-0.122818895,-9.754913,4000,0,20,0
21817620000,0.036751628,0.0058589326,-0.0007989548,4000,0,-0.019680236,-0.06176674,-9.750123,4000,0,20,0
21817624000,0.037550572,0.00665791,-0.0013315723,4000,0,0.004261788,-0.05458413,-9.76808,4000,0,20,0
