timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
21758432000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21758936000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21759440000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21759944000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21760448000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21760952000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21761456000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21761960000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21762464000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21762968000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21763472000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21763976000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21764480000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21764984000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21765488000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21765992000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21766496000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21767000000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21767504000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21768008000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21768512000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21769016000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21769520000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21770024000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21770528000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21771032000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21771536000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21772040000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21772544000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21773048000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21773552000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21774056000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21774560000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21775064000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
