timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
21740020000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740072000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740124000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740172000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740228000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740280000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740332000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740384000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740436000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740488000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740540000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740592000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740644000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740696000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740748000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740800000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740848000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740904000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21740956000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741008000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741056000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741112000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741164000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741216000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741268000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741320000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741372000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741424000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741476000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741528000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741580000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741632000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741684000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741736000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741784000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741840000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741888000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741944000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21741996000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21742048000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21742100000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21742148000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
