timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
21750552000,21750552000,1311004,1311004,-3.0513576e-05,2.1694889e-06,-4.463184e-07,0.017284311,-0.00021220153,-0.035489514,4000,4000,0,20,0
21751056000,21751056000,1311004,1311004,-1.3853349e-05,-8.940557e-06,-1.0429967e-05,0.017209891,-0.00015169034,-0.035355438,4000,4000,0,20,0
21751556000,21751556000,1311004,1311004,-1.4631316e-05,1.3069353e-05,-2.8699858e-05,0.017298358,-4.5347395e-05,-0.03532525,4000,4000,0,20,0
21752056000,21752056000,1311004,1311004,1.4746986e-05,5.5653313e-06,1.6735303e-05,0.017560923,0.00021125044,-0.035868485,4000,4000,0,20,0
21752556000,21752556000,1311004,1311004,-0.0008157006,7.0401784e-06,4.47545e-05,0.01710852,-0.00076646206,-0.04049516,4000,4000,0,20,0
21753052000,21753052000,1311004,1311004,4.3589658e-05,2.9341263e-05,1.3073016e-05,0.01719006,-7.5614895e-05,-0.035119932,4000,4000,0,20,0
21753556000,21753556000,1311004,1311004,-5.6660524e-06,-3.8094001e-06,3.1471582e-06,0.01688094,-0.000101798694,-0.035036497,4000,4000,0,20,0
21754052000,21754052000,1311004,1311004,-1.3557033e-05,-1.5762596e-05,-6.497371e-06,0.017106276,7.2090384e-05,-0.035043597,4000,4000,0,20,0
21754552000,21754552000,1311004,1311004,-3.783166e-05,9.281088e-06,-8.7358944e-07,0.017184446,-3.665505e-05,-0.03531049,4000,4000,0,20,0
21755052000,21755052000,1311004,1311004,6.880296e-05,-2.1912512e-05,1.6942578e-05,0.017104417,0.00013356468,-0.035406273,4000,4000,0,20,0
21755556000,21755556000,1311004,1311004,0.001099294,1.4043468e-05,-7.9340614e-05,0.016858578,0.0006993533,-0.034145202,4000,4000,0,20,0
21756056000,21756056000,1311004,1311004,3.2235344e-05,3.2935668e-06,3.1050837e-05,0.017453237,-6.3274485e-05,-0.0350981,4000,4000,0,20,0
21756552000,21756552000,1311004,1311004,-2.7961327e-05,1.5842557e-05,4.7035296e-06,0.017340489,-9.3055554e-05,-0.035056878,4000,4000,0,20,0
21757052000,21757052000,1311004,1311004,-6.949154e-05,2.2394912e-05,-3.6689857e-05,0.016974956,0.00015079211,-0.03500557,4000,4000,0,20,0
21757556000,21757556000,1311004,1311004,6.875616e-06,4.1130337e-05,-2.5325919e-05,0.017280422,-0.00026617647,-0.03550929,4000,4000,0,20,0
21758056000,21758056000,1311004,1311004,2.364205e-06,-1.2593924e-05,-1.9110561e-05,0.017000174,-0.00011513159,-0.03562283,4000,4000,0,20,0
21758556000,21758556000,1311004,1311004,-9.5311196e-05,1.8124507e-05,-1.3083791e-05,0.017364154,-0.001018913,-0.029291281,4000,4000,0,20,0
21759056000,21759056000,1311004,1311004,-7.5460453e-06,-1.1247701e-05,4.0711264e-05,0.017149212,-0.00024144909,-0.034884583,4000,4000,0,20,0
21759556000,21759556000,1311004,1311004,9.153215e-06,-1.5028977e-06,-7.533354e-06,0.017073287,-0.00021962999,-0.034811888,4000,4000,0,20,0
21760056000,21760056000,1311004,1311004,-3.8519665e-05,2.9088735e-06,-2.1181004e-05,0.017167399,3.1176925e-05,-0.035105586,4000,4000,0,20,0
