timestamp,load,ram_usage
21778004000,0.13725491,0.37331763
21778504000,0.16,0.37314397
21779004000,0.21818182,0.37334996
21779504000,0.12244898,0.37347135
21780004000,0.08196721,0.37341562
21780504000,0.1,0.3732186
21781004000,0.12,0.37321413
21781504000,0.13725491,0.37318927
21782004000,0.12244898,0.3734599
21782504000,0.08,0.37344846
21783004000,0.12,0.37342906
21783504000,0.14,0.37338826
21784004000,0.1,0.37353653
21784504000,0.12,0.37358928
21785004000,0.08,0.37343255
21785504000,0.12,0.3733664
21786004000,0.14,0.37337035
21786504000,0.13461539,0.37334052
21787004000,0.1,0.37328777
21787504000,0.08163265,0.37325692
21788004000,0.1,0.3733002
21788504000,0.08,0.37339723
21789004000,0.08,0.37323552
21789504000,0.14,0.37342012
21790004000,0.14516129,0.37346986
21790504000,0.14,0.37332758
21791004000,0.1,0.37322408
21791504000,0.11764706,0.37327832
21792004000,0.12244898,0.3735007
21792504000,0.12,0.37349325
21793004000,0.1,0.37335542
21793504000,0.14,0.37346888
21794004000,0.1,0.37363952
21794504000,0.12,0.37356538
21795004000,0.12,0.37355742
21795504000,0.13725491,0.3734221
21796004000,0.12244898,0.37345195
21796504000,0.11764706,0.37345096
21797004000,0.10204082,0.37344947
21797504000,0.12,0.37336937
21798004000,0.115384616,0.37338877
21798504000,0.18367347,0.37340719
21799004000,0.10169491,0.37350866
21799504000,0.11666667,0.37357086
21800004000,0.13725491,0.37348378
21800504000,0.12244898,0.3735082
21801004000,0.14,0.37355295
21801504000,0.21428572,0.37345693
21802004000,0.16666667,0.37349722
21802504000,0.2264151,0.37351364
21803004000,0.14285715,0.3734629
21803504000,0.1,0.37351662
21804004000,0.14,0.37356988
21804504000,0.12,0.37356788
21805004000,0.1,0.3733823
21805504000,0.12244898,0.37349424
21806004000,0.13725491,0.37477237
21806504000,0.09803922,0.3769809
21807004000,0.10204082,0.3737639
21807504000,0.11764706,0.37364897
21808004000,0.12244898,0.37353602
21808504000,0.24528302,0.37363902
21809004000,0.11764706,0.37371415
21809504000,0.16,0.37367135
21810004000,0.13725491,0.37361762
21810504000,0.2,0.37361464
21811004000,0.2,0.37353155
21811504000,0.2,0.37347335
21812004000,0.08,0.37347236
21812504000,0.16,0.37349674
21813004000,0.12,0.3735818
21813504000,0.15686275,0.3734599
21814004000,0.14,0.37351564
21814504000,0.16,0.37362707
21815004000,0.14,0.37386042
21815504000,0.12,0.373745
21816004000,0.16,0.3736828
21816504000,0.1,0.3738226
21817004000,0.12,0.37383056
21817504000,0.18,0.37371117
21818004000,0.08,0.37371364
21818504000,0.12,0.37367037
21819004000,0.12,0.37365893
21819504000,0.12,0.3735196
21820004000,0.14,0.37351015
21820504000,0.12,0.37351015
21821004000,0.15686275,0.37344697
21821504000,0.14285715,0.3735664
21822004000,0.1,0.37344798
21822504000,0.12,0.37340668
21823004000,0.16,0.37339225
21823504000,0.12,0.37351266
21824004000,0.12,0.37371165
21824504000,0.1764706,0.37363055
21825004000,0.12244898,0.37359673
21825504000,0.1,0.3735838
21826004000,0.12,0.37351465
21826504000,0.11764706,0.37355244
21827004000,0.14,0.37353554
21827504000,0.21153846,0.37355942
21828004000,0.12244898,0.373547
21828504000,0.11764706,0.37364748
21829004000,0.1,0.37367335
21829504000,0.12244898,0.3737589
21830004000,0.14,0.373641
21830504000,0.12,0.37363553
21831004000,0.16,0.3736236
21831504000,0.14,0.37377933
21832004000,0.1,0.37377286
21832504000,0.15686275,0.37359574
21833004000,0.14,0.37356538
21833504000,0.16,0.3737251
21834004000,0.2,0.37369075
21834504000,0.14285715,0.37352657
21835004000,0.13114753,0.37350717
21835504000,0.14285715,0.37349823
21836004000,0.15686275,0.3735241
21836504000,0.12,0.37356886
21837004000,0.14,0.37355644
21837504000,0.12,0.37349823
21838004000,0.12,0.3736405
21838504000,0.12,0.37365344
21839004000,0.1,0.37369922
21839504000,0.14,0.37369922
21840004000,0.14,0.3735833
21840504000,0.15686275,0.3735276
21841004000,0.16,0.37350866
21841504000,0.12,0.37364647
21842004000,0.12,0.37367386
21842504000,0.1,0.3737047
21843004000,0.1,0.3737047
21843504000,0.12,0.3737251
21844004000,0.14,0.37377086
21844504000,0.12,0.37375993
21845004000,0.14,0.37355644
21845504000,0.12,0.37357035
21846004000,0.14,0.37355593
21846504000,0.12,0.37361515
21847004000,0.1,0.3735375
21847504000,0.1,0.37349573
21848004000,0.12,0.37364697
21848504000,0.09803922,0.37383753
21849004000,0.08163265,0.37353903
21849504000,0.12,0.37355593
21850004000,0.12,0.37354946
21850504000,0.16,0.37354
21851004000,0.078431375,0.37344947
