timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
1743177574837379,1743177574679379,1743177574685379,0,0.33056122,0.12733588,0.34307316,0.0025000002,0.0025000002,0.0025000002,0.0008316213,0.00094389915,-0.0029957294,-0.00023197298,0.00080719753,-0.0019943924,0.0025072882,0.0025077935,0.0025037816,3.0648163e-05,3.945007e-05,0.00039837073,-0.00018403748,0.00011613192,-0.00033912226,0,0,1
1743177574901379,1743177574747379,1743177574749379,0,0.3300985,0.1254648,0.34058958,0.0025000002,0.0025000002,0.0025000002,0.0013223878,0.0026286095,-0.00046923757,-4.5887544e-05,0.0010252016,-0.0018118236,0.0025072817,0.0025077956,0.0025037813,7.7494704e-05,0.0003060365,9.7781585e-06,-0.00015272728,0.00013886698,-0.00029969373,0,0,1
1743177574973379,1743177574815379,1743177574821379,0,0.33074173,0.12552617,0.34077105,0.0025000002,0.0025000002,0.0025000002,0.0007803595,0.002333805,-0.0006670952,5.3029347e-05,0.0011818327,-0.0016747533,0.002507269,0.0025077914,0.0025037667,2.6986465e-05,0.00024126472,1.9736162e-05,-0.00013121226,0.00015112586,-0.0002661777,0,0,1
1743177575037379,1743177574883379,1743177574885379,0,0.33009136,0.12926282,0.33780217,0.0025000002,0.0025000002,0.0025000002,0.0014153026,-0.0015560538,0.0023729503,0.00021611838,0.0008539985,-0.0011903923,0.0025072633,0.002507796,0.002503766,8.876795e-05,0.000107347,0.00024949276,-0.000104876606,0.000120181925,-0.0002044425,0,0,1
1743177575109379,1743177574951379,1743177574957379,0,0.33030808,0.12694462,0.34148207,0.0025000002,0.0025000002,0.0025000002,0.0012623545,0.00047706068,-0.0012651682,0.00034137198,0.0008088166,-0.001199465,0.002507263,0.0025078107,0.002503768,7.0618786e-05,1.0063852e-05,7.114607e-05,-8.3866595e-05,0.00010699878,-0.00018848448,0,0,1
1743177575173379,1743177575019379,1743177575021379,0,0.32484365,0.12805583,0.3455643,0.0025000002,0.0025000002,0.0025000002,0.006865935,-0.00079883635,-0.0054159164,0.0011224815,0.00061606744,-0.001705051,0.0025072447,0.0025077977,0.0025037515,0.0020891044,2.8441538e-05,0.0013049092,0.0001762778,9.0784095e-05,-0.00032214096,0,0,1
1743177575245379,1743177575087379,1743177575093379,0,0.33204135,0.12621407,0.34159335,0.0025000002,0.0025000002,0.0025000002,-0.00030655938,0.00077702105,-0.0013846755,0.0009513992,0.00063535164,-0.0016666334,0.0025072426,0.002507807,0.002503754,4.164763e-06,2.675899e-05,8.502223e-05,0.00015467552,8.311912e-05,-0.00029375352,0,0,1
1743177575309379,1743177575155379,1743177575157379,0,0.3337785,0.12300949,0.34049022,0.0025000002,0.0025000002,0.0025000002,-0.0020339414,0.003729254,-0.00019940734,0.0005939993,0.0010058341,-0.0014905815,0.002507238,0.0025078144,0.002503753,0.00018333223,0.00061641424,1.7062509e-06,0.000114209804,0.0001469643,-0.00025879013,0,0,1
1743177575381379,1743177575223379,1743177575229379,0,0.32971284,0.12406441,0.34047526,0.0025000002,0.0025000002,0.0025000002,0.0019678618,0.00269451,-0.00012481213,0.00075847574,0.001207918,-0.0013271645,0.0025072242,0.0025078107,0.0025037357,0.00017161432,0.00032151636,6.9972316e-07,0.00012108217,0.00016786138,-0.00022789199,0,0,1
1743177575445379,1743177575291379,1743177575293379,0,0.32801372,0.12948853,0.34184203,0.0025000002,0.0025000002,0.0025000002,0.0036586137,-0.0028939396,-0.0014248192,0.0011056754,0.00071669417,-0.0013393871,0.002507219,0.0025078168,0.0025037345,0.00059319614,0.00037139223,9.065484e-05,0.00017760285,0.00010330285,-0.00021146219,0,0,1
