timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
21728312000,21728312000,-0.0031847155,0.0025164636,0.0005790936,0.001,0.0,0.0,0.0,-1.0
21728356000,21728356000,-0.0038008138,0.003018278,-0.00048974797,0.001,0.0,0.0,0.0,-1.0
21728412000,21728412000,-0.0028946362,0.0033733991,0.00036758173,0.001,0.0,0.0,0.0,-1.0
21728460000,21728460000,-0.0039261496,0.0034175387,0.0004340198,0.001,0.0,0.0,0.0,-1.0
21728512000,21728512000,-0.0041119726,0.0028225211,-0.0004268258,0.001,0.0,0.0,0.0,-1.0
21728560000,21728560000,-0.0031079114,0.00330953,0.00040842756,0.001,0.0,0.0,0.0,-1.0
21728608000,21728608000,-0.003415594,0.0023211143,0.00088765594,0.001,0.0,0.0,0.0,-1.0
21728660000,21728660000,-0.004292912,0.0034465815,0.0005397224,0.001,0.0,0.0,0.0,-1.0
21728712000,21728712000,-0.0045756423,0.00459664,0.00014168493,0.001,0.0,0.0,0.0,-1.0
21728756000,21728756000,-0.0026992222,0.0032175398,0.000659377,0.001,0.0,0.0,0.0,-1.0
21728812000,21728812000,-0.0028943794,0.0027620017,-0.0006632993,0.001,0.0,0.0,0.0,-1.0
21728860000,21728860000,-0.0029418052,0.0031954462,0.0008662183,0.001,0.0,0.0,0.0,-1.0
21728912000,21728912000,-0.0025386198,0.0032730426,-0.00051696826,0.001,0.0,0.0,0.0,-1.0
21728960000,21728960000,-0.003897343,0.00288369,0.0016047275,0.001,0.0,0.0,0.0,-1.0
21729008000,21729008000,-0.0043957704,0.0033112809,9.612325e-05,0.001,0.0,0.0,0.0,-1.0
21729060000,21729060000,-0.0015432831,0.0032982342,0.0005211047,0.001,0.0,0.0,0.0,-1.0
21729108000,21729108000,-0.0044195056,0.0031627836,-0.0014924405,0.001,0.0,0.0,0.0,-1.0
21729160000,21729160000,-0.0015781767,0.0036604307,0.00075029896,0.001,0.0,0.0,0.0,-1.0
21729212000,21729212000,-0.005183298,0.00304688,8.397287e-05,0.001,0.0,0.0,0.0,-1.0
21729260000,21729260000,-0.002864911,0.0034723831,-0.00022219439,0.001,0.0,0.0,0.0,-1.0
21729312000,21729312000,-0.005352007,0.0023518216,0.0010380693,0.001,0.0,0.0,0.0,-1.0
21729360000,21729360000,-0.0026266524,0.0029486646,-8.666362e-05,0.001,0.0,0.0,0.0,-1.0
21729412000,21729412000,-0.0045662653,0.0035569333,-0.0002116318,0.001,0.0,0.0,0.0,-1.0
21729460000,21729460000,-0.0034558182,0.0026822304,0.0007774068,0.001,0.0,0.0,0.0,-1.0
21729512000,21729512000,-0.0020507032,0.0033034415,0.000108598324,0.001,0.0,0.0,0.0,-1.0
21729556000,21729556000,-0.0036400189,0.0030983218,2.9995577e-05,0.001,0.0,0.0,0.0,-1.0
21729608000,21729608000,-0.0045894813,0.0027907155,0.0020921421,0.001,0.0,0.0,0.0,-1.0
21729660000,21729660000,-0.0023082595,0.0026079977,-4.2042786e-05,0.001,0.0,0.0,0.0,-1.0
21729712000,21729712000,-0.0029083227,0.003379908,-0.00040896292,0.001,0.0,0.0,0.0,-1.0
21729760000,21729760000,-0.0053878715,0.002497547,8.910716e-05,0.001,0.0,0.0,0.0,-1.0
21729812000,21729812000,-0.0055225566,0.0029606177,-0.00048274454,0.001,0.0,0.0,0.0,-1.0
21729860000,21729860000,-0.0055725425,0.0028478114,0.00021411381,0.001,0.0,0.0,0.0,-1.0
21729912000,21729912000,-0.0041720364,0.0019688723,-0.00046189988,0.001,0.0,0.0,0.0,-1.0
21729960000,21729960000,-0.0042523816,0.0029592584,-0.00080625573,0.001,0.0,0.0,0.0,-1.0
21730012000,21730012000,-0.0035681943,0.0032262187,-0.0007486787,0.001,0.0,0.0,0.0,-1.0
21730060000,21730060000,-0.0030967474,0.0034634976,0.0008484063,0.001,0.0,0.0,0.0,-1.0
21730112000,21730112000,-0.004376104,0.0028799411,0.00014339242,0.001,0.0,0.0,0.0,-1.0
21730160000,21730160000,-0.0031714223,0.0032808275,0.00028803482,0.001,0.0,0.0,0.0,-1.0
21730212000,21730212000,-0.002857134,0.0023009237,-0.0007058659,0.001,0.0,0.0,0.0,-1.0
21730260000,21730260000,-0.0034783036,0.0020686297,0.0012071506,0.001,0.0,0.0,0.0,-1.0
21730312000,21730312000,-0.0038814915,0.0030082066,0.00067803793,0.001,0.0,0.0,0.0,-1.0
21730360000,21730360000,-0.0059168926,0.0028221034,-0.0012355758,0.001,0.0,0.0,0.0,-1.0
21730412000,21730412000,-0.00457706,0.003350762,0.000419212,0.001,0.0,0.0,0.0,-1.0
21730460000,21730460000,-0.005458707,0.002504372,-0.00021034005,0.001,0.0,0.0,0.0,-1.0
21730512000,21730512000,-0.004840348,0.002119912,-0.00055543164,0.001,0.0,0.0,0.0,-1.0
21730560000,21730560000,-0.005018115,0.0011258876,0.00018616908,0.001,0.0,0.0,0.0,-1.0
21730608000,21730608000,-0.0048677106,0.002094674,0.00018015118,0.001,0.0,0.0,0.0,-1.0
21730660000,21730660000,-0.0034796428,0.002098176,-0.00036377236,0.001,0.0,0.0,0.0,-1.0
21730708000,21730708000,-0.005666419,0.0028792608,-0.00031156768,0.001,0.0,0.0,0.0,-1.0
21730760000,21730760000,-0.0037019486,0.0025996012,0.00034689202,0.001,0.0,0.0,0.0,-1.0
21730812000,21730812000,-0.0035472189,0.0024075971,0.0002961785,0.001,0.0,0.0,0.0,-1.0
21730860000,21730860000,-0.0032104012,0.002621414,0.00061773934,0.001,0.0,0.0,0.0,-1.0
21730908000,21730908000,-0.0033919946,0.0025312894,-0.00017975968,0.001,0.0,0.0,0.0,-1.0
21730960000,21730960000,-0.002953308,0.0027925533,0.00022935269,0.001,0.0,0.0,0.0,-1.0
21731012000,21731012000,-0.0059499918,0.0021700454,-1.0039316e-05,0.001,0.0,0.0,0.0,-1.0
21731060000,21731060000,-0.0030901255,0.0028150426,0.0005780983,0.001,0.0,0.0,0.0,-1.0
21731112000,21731112000,-0.0037804227,0.002066273,-0.00014184495,0.001,0.0,0.0,0.0,-1.0
21731160000,21731160000,-0.002924119,0.0028275074,-0.0013227479,0.001,0.0,0.0,0.0,-1.0
21731212000,21731212000,-0.0042495574,0.0035553342,-7.0544406e-06,0.001,0.0,0.0,0.0,-1.0
21731260000,21731260000,-0.004774813,0.0031596844,-9.9755845e-05,0.001,0.0,0.0,0.0,-1.0
21731308000,21731308000,-0.0049297414,0.002516925,0.0001775923,0.001,0.0,0.0,0.0,-1.0
21731360000,21731360000,-0.0040499773,0.0029862523,7.106143e-05,0.001,0.0,0.0,0.0,-1.0
21731412000,21731412000,-0.002820601,0.0027171192,-0.00026522615,0.001,0.0,0.0,0.0,-1.0
21731460000,21731460000,-0.002346099,0.002639729,0.0008186604,0.001,0.0,0.0,0.0,-1.0
21731512000,21731512000,-0.0045688264,0.0029854607,-0.00014813912,0.001,0.0,0.0,0.0,-1.0
21731556000,21731556000,-0.0023662164,0.00190912,-0.00033056323,0.001,0.0,0.0,0.0,-1.0
21731608000,21731608000,-0.005142766,0.0021486953,-0.00051629683,0.001,0.0,0.0,0.0,-1.0
21731660000,21731660000,-0.0030524964,0.0020572052,0.00019791003,0.001,0.0,0.0,0.0,-1.0
21731708000,21731708000,-0.0027798535,0.0022624598,0.0003429933,0.001,0.0,0.0,0.0,-1.0
21731760000,21731760000,-0.005195501,0.0022544987,-0.00015087584,0.001,0.0,0.0,0.0,-1.0
21731812000,21731812000,-0.0038983633,0.0026071803,-0.0008755277,0.001,0.0,0.0,0.0,-1.0
21731856000,21731856000,-0.005477927,0.0024514531,3.825104e-06,0.001,0.0,0.0,0.0,-1.0
21731912000,21731912000,-0.0033248938,0.0013457799,-0.00016309659,0.001,0.0,0.0,0.0,-1.0
21731960000,21731960000,-0.004034024,0.0015736076,0.00035464353,0.001,0.0,0.0,0.0,-1.0
21732012000,21732012000,-0.0033660317,0.0024047229,-0.00061789487,0.001,0.0,0.0,0.0,-1.0
21732060000,21732060000,-0.0037549485,0.0019986208,-0.00031918444,0.001,0.0,0.0,0.0,-1.0
21732112000,21732112000,-0.0027572517,0.0014776969,-0.00041412967,0.001,0.0,0.0,0.0,-1.0
21732160000,21732160000,-0.0036721998,0.0023336285,0.0006463331,0.001,0.0,0.0,0.0,-1.0
21732212000,21732212000,-0.003941417,0.0030843734,0.0014390603,0.001,0.0,0.0,0.0,-1.0
21732260000,21732260000,-0.0033849373,0.0027963335,-0.00030985876,0.001,0.0,0.0,0.0,-1.0
21732312000,21732312000,-0.003654668,0.0019028845,-0.001113533,0.001,0.0,0.0,0.0,-1.0
21732360000,21732360000,-0.0068859193,0.0037390648,-0.00037497983,0.0064819437,0.0,0.0,0.0,-1.0
21732412000,21732412000,-0.0028828282,0.0018764448,-0.0006424629,0.013717135,0.0,0.0,0.0,-1.0
21732460000,21732460000,-0.0040575652,0.0014903619,0.00047685835,0.020791862,0.0,0.0,0.0,-1.0
21732512000,21732512000,-0.0045685135,0.0017315772,0.0001263043,0.027976185,0.0,0.0,0.0,-1.0
21732556000,21732556000,-0.003781068,0.0021417746,-0.00036653865,0.035477914,0.0,0.0,0.0,-1.0
21732612000,21732612000,-0.0043522925,0.002146863,0.00010660612,0.044600736,0.0,0.0,0.0,-1.0
21732660000,21732660000,-0.005515868,0.0026288154,-0.00061404,0.052874394,0.0,0.0,0.0,-1.0
21732712000,21732712000,-0.0030333227,0.0009896166,0.0007278227,0.062113862,0.0,0.0,0.0,-1.0
21732760000,21732760000,-0.0060850745,0.003248494,-0.0011579822,0.071568884,0.0,0.0,0.0,-1.0
21732812000,21732812000,-0.0045570303,0.001595708,-0.00028198384,0.083139054,0.0,0.0,0.0,-1.0
21732860000,21732860000,-0.0058788005,0.002655281,-0.00033001145,0.0931991,0.0,0.0,0.0,-1.0
21732912000,21732912000,-0.0058769835,0.0035522461,-0.00038622608,0.10366217,0.0,0.0,0.0,-1.0
21732960000,21732960000,-0.0052789995,0.0022564193,0.00043205643,0.11455964,0.0,0.0,0.0,-1.0
21733012000,21733012000,-0.0048543,0.00239508,0.00042704502,0.1278375,0.0,0.0,0.0,-1.0
21733056000,21733056000,-0.00740437,0.0016526324,0.000612013,0.1405461,0.0,0.0,0.0,-1.0
21733112000,21733112000,-0.004829889,0.0028417015,0.0007594825,0.15284066,0.0,0.0,0.0,-1.0
21733160000,21733160000,-0.0062994543,0.0025655893,-0.00013280561,0.16601728,0.0,0.0,0.0,-1.0
21733212000,21733212000,-0.003124962,0.004306406,-0.0016724593,0.1806229,0.0,0.0,0.0,-1.0
21733260000,21733260000,-0.0058707525,0.0034694546,-0.0017772887,0.19502589,0.0,0.0,0.0,-1.0
21733312000,21733312000,-0.0019311439,0.001940274,2.4033268e-05,0.20945984,0.0,0.0,0.0,-1.0
21733360000,21733360000,-0.011763737,0.0036579296,2.0810563e-05,0.22429533,0.0,0.0,0.0,-1.0
21733412000,21733412000,-0.009202582,0.003828511,-0.000911391,0.24261057,0.0,0.0,0.0,-1.0
21733460000,21733460000,-0.005323426,0.0021835528,0.0006027524,0.25759208,0.0,0.0,0.0,-1.0
21733512000,21733512000,-0.00024200708,0.0026965549,-0.00014093544,0.27369922,0.0,0.0,0.0,-1.0
21733560000,21733560000,-0.0066243145,0.0022569092,0.00027659547,0.2903182,0.0,0.0,0.0,-1.0
21733612000,21733612000,-0.0063718557,0.0039143334,-0.0030691018,0.3104505,0.0,0.0,0.0,-1.0
21733660000,21733660000,-0.0144316135,0.003194689,0.00039435117,0.32844773,0.0,0.0,0.0,-1.0
21733708000,21733708000,-0.008716417,0.0021493123,0.0010819264,0.34655043,0.0,0.0,0.0,-1.0
21733760000,21733760000,-0.008425331,0.0027066276,-0.00030284477,0.3651706,0.0,0.0,0.0,-1.0
21733812000,21733812000,-0.009464428,0.0022849294,-0.00050858705,0.38652554,0.0,0.0,0.0,-1.0
21733860000,21733860000,-0.008574496,0.00045598927,9.415392e-05,0.4058176,0.0,0.0,0.0,-1.0
21733912000,21733912000,-0.009373113,0.0020187646,0.00067403726,0.42580187,0.0,0.0,0.0,-1.0
21733956000,21733956000,0.0075282766,-0.013881246,0.0008196244,0.44292593,0.0,0.0,0.0,-1.0
21734012000,21734012000,-0.004027364,-0.012253612,0.0063688774,0.46758938,0.0,0.0,0.0,-1.0
21734060000,21734060000,-0.005511947,-0.0133494465,0.0008944866,0.48379815,0.0,0.0,0.0,-1.0
21734108000,21734108000,-0.0018822539,-0.01345623,-0.0014382733,0.49255684,0.0,0.0,0.0,-1.0
21734160000,21734160000,0.0033648887,-0.013756594,-0.0010656819,0.49739096,0.0,0.0,0.0,-1.0
21734212000,21734212000,-0.0014191949,-0.013075338,0.0020488945,0.50073147,0.0,0.0,0.0,-1.0
21734260000,21734260000,0.0003223738,-0.012103383,-6.215551e-05,0.5022781,0.0,0.0,0.0,-1.0
21734312000,21734312000,0.00073356624,-0.012739261,0.0005778713,0.5023619,0.0,0.0,0.0,-1.0
21734360000,21734360000,-0.0020381638,-0.012154619,0.00039183116,0.5032156,0.0,0.0,0.0,-1.0
21734412000,21734412000,-0.0027083715,-0.010656245,0.0007953779,0.5038845,0.0,0.0,0.0,-1.0
21734456000,21734456000,0.0039783814,-0.010377984,-0.0015318246,0.50522196,0.0,0.0,0.0,-1.0
21734512000,21734512000,-0.0021400822,-0.013157832,-0.0003089911,0.5060493,0.0,0.0,0.0,-1.0
21734560000,21734560000,-0.0013849175,-0.011920043,0.0014136435,0.50770557,0.0,0.0,0.0,-1.0
21734612000,21734612000,0.00034124864,-0.013090598,0.00046715286,0.50928915,0.0,0.0,0.0,-1.0
21734660000,21734660000,-0.0012205581,-0.012965317,-0.0009789219,0.51005137,0.0,0.0,0.0,-1.0
21734712000,21734712000,-0.00053699524,-0.013165396,5.719462e-05,0.5116574,0.0,0.0,0.0,-1.0
21734760000,21734760000,-0.02923251,-0.012857402,0.0011836486,0.51227325,0.0,0.0,0.0,-1.0
21734812000,21734812000,0.0019523446,-0.012958128,-9.815076e-05,0.48601705,0.0,0.0,0.0,-1.0
21734860000,21734860000,-0.00050180947,-0.013354345,6.65406e-05,0.46041197,0.0,0.0,0.0,-1.0
21734912000,21734912000,-0.00013720804,-0.011265025,0.00067797,0.44489628,0.0,0.0,0.0,-1.0
21734960000,21734960000,-0.0009815624,-0.011491983,-0.0006905988,0.4345425,0.0,0.0,0.0,-1.0
21735012000,21735012000,0.0007217043,-0.012975702,-0.0007489619,0.42725512,0.0,0.0,0.0,-1.0
21735060000,21735060000,-0.00028550526,-0.010848473,-0.00084772304,0.42517138,0.0,0.0,0.0,-1.0
21735112000,21735112000,-0.028399348,-0.011047862,0.0024089052,0.42379072,0.0,0.0,0.0,-1.0
21735156000,21735156000,0.0009992237,-0.012154346,-0.0007100381,0.42449433,0.0,0.0,0.0,-1.0
21735212000,21735212000,-0.00024686,-0.0112673445,-0.00026970432,0.42450443,0.0,0.0,0.0,-1.0
21735256000,21735256000,-0.00024460815,-0.011623915,-8.832252e-05,0.42489013,0.0,0.0,0.0,-1.0
21735312000,21735312000,-0.00074290496,-0.012241065,0.00014999848,0.426291,0.0,0.0,0.0,-1.0
21735360000,21735360000,1.8198765e-05,-0.013325599,0.00020106367,0.4265279,0.0,0.0,0.0,-1.0
21735412000,21735412000,0.0006841364,-0.01197564,0.0005057956,0.42727116,0.0,0.0,0.0,-1.0
21735460000,21735460000,-0.032137673,-0.01054249,0.0028341487,0.42739585,0.0,0.0,0.0,-1.0
21735512000,21735512000,0.0016841464,-0.012668271,0.00062681985,0.42963913,0.0,0.0,0.0,-1.0
21735556000,21735556000,-0.00015000485,-0.013219564,0.00049292576,0.43010852,0.0,0.0,0.0,-1.0
21735608000,21735608000,0.00027759623,-0.013226836,0.00030045363,0.43143663,0.0,0.0,0.0,-1.0
21735660000,21735660000,0.00031965334,-0.010663164,0.0051076384,0.43238774,0.0,0.0,0.0,-1.0
21735712000,21735712000,0.003017094,-0.012344611,-0.0013478026,0.43212017,0.0,0.0,0.0,-1.0
21735760000,21735760000,-0.00014553108,-0.011266371,-0.0014395167,0.43297282,0.0,0.0,0.0,-1.0
