timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1743177562933379,32767,32767,32767,32767,32767,32767,32767
1743177562937379,32767,32767,32767,32767,32767,32767,32767
1743177562941379,32767,32767,32767,32767,32767,32767,32767
1743177562945379,32767,32767,32767,32767,32767,32767,32767
1743177562949379,32767,32767,32767,32767,32767,32767,32767
1743177562953379,32767,32767,32767,32767,32767,32767,32767
1743177562957379,32767,32767,32767,32767,32767,32767,32767
1743177562961379,32767,32767,32767,32767,-40,32767,32767
1743177562965379,32767,32767,32767,32767,32767,32767,32767
1743177562969379,32767,32767,32767,32767,32767,32767,32767
1743177562973379,32767,32767,32767,32767,32767,32767,32767
1743177562977379,32767,32767,32767,32767,32767,32767,32767
1743177562981379,32767,32767,32767,32767,32767,32767,32767
1743177562985379,32767,32767,32767,32767,32767,32767,32767
1743177562989379,32767,32767,32767,32767,32767,32767,32767
1743177562993379,32767,32767,32767,32767,32767,32767,32767
1743177562997379,32767,32767,32767,32767,32767,32767,32767
1743177563001379,32767,32767,32767,32767,32767,32767,32767
1743177563005379,32767,32767,32767,32767,32767,32767,32767
