timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
21790420000,21790298000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21790620000,21790502000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21790836000,21790714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21791044000,21790922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21791404000,21791286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21791612000,21791490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21791820000,21791702000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21792028000,21791906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21792236000,21792118000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21792444000,21792322000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21792812000,21792690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21793020000,21792898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21793228000,21793106000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21793436000,21793314000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21793636000,21793518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21794004000,21793886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21794212000,21794094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21794420000,21794302000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21794628000,21794510000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21794836000,21794718000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21795044000,21794926000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21795412000,21795290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21795620000,21795498000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21795828000,21795706000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21796036000,21795914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21796244000,21796122000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21796604000,21796486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21796812000,21796694000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21797020000,21796902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21797228000,21797110000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21797436000,21797318000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21797644000,21797526000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21798012000,21797890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21798212000,21798094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21798428000,21798306000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21798636000,21798514000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21798844000,21798722000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21799204000,21799082000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21799412000,21799294000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21799620000,21799502000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21799828000,21799710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21800036000,21799918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21800244000,21800126000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21800612000,21800490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21800820000,21800698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21801028000,21800906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21801228000,21801110000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21801444000,21801322000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21801804000,21801686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21802012000,21801894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21802220000,21802098000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21802428000,21802310000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21802636000,21802518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21802844000,21802722000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21803212000,21803090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21803420000,21803298000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21803628000,21803506000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21803836000,21803714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21804044000,21803922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21804404000,21804282000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21804612000,21804494000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21804820000,21804702000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21805028000,21804910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21805236000,21805114000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21805444000,21805326000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21805812000,21805690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21806020000,21805898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21806228000,21806106000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21806428000,21806310000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21806644000,21806522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21807004000,21806886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21807212000,21807094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21807420000,21807302000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21807628000,21807510000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21807836000,21807718000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21808044000,21807922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21808412000,21808290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21808620000,21808498000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21808828000,21808706000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21809028000,21808910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21809244000,21809122000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21809604000,21809486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21809812000,21809694000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21810020000,21809902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21810228000,21810106000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21810436000,21810318000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21810644000,21810526000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21811012000,21810890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21811220000,21811098000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21811420000,21811302000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21811636000,21811514000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21811844000,21811722000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21812204000,21812086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21812412000,21812294000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21812620000,21812502000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21812828000,21812710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21813036000,21812914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21813244000,21813126000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21813612000,21813490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21813820000,21813698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21814028000,21813906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21814236000,21814114000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21814436000,21814318000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21814804000,21814686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21815012000,21814894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21815220000,21815102000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21815428000,21815310000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21815636000,21815518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21815844000,21815726000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21816212000,21816090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21816412000,21816294000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21816628000,21816506000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21816836000,21816714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21817044000,21816922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21817404000,21817286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21817612000,21817494000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21817820000,21817702000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21818028000,21817910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21818236000,21818118000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21818444000,21818326000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21818812000,21818690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21819020000,21818898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21819228000,21819106000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21819436000,21819314000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21819636000,21819518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21820004000,21819882000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21820212000,21820094000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21820420000,21820302000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21820628000,21820510000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21820836000,21820718000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21821044000,21820922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21821404000,21821286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21821612000,21821494000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21821828000,21821706000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21822036000,21821914000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21822236000,21822118000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21822604000,21822486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21822812000,21822690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21823020000,21822902000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21823228000,21823110000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21823436000,21823318000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21823644000,21823522000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21824012000,21823890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21824220000,21824098000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21824428000,21824306000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21824636000,21824514000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21824844000,21824722000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21825204000,21825086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21825412000,21825294000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21825620000,21825502000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21825828000,21825710000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21826036000,21825918000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21826244000,21826126000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21826612000,21826490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21826820000,21826698000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21827028000,21826906000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21827236000,21827114000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21827444000,21827322000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21827804000,21827686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21828012000,21827894000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21828220000,21828102000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21828428000,21828310000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21828636000,21828518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21828844000,21828726000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21829212000,21829090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21829420000,21829298000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21829628000,21829506000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21829836000,21829714000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21830044000,21829922000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21830404000,21830286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21830612000,21830494000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21830820000,21830702000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21831028000,21830910000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21831236000,21831118000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21831444000,21831322000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21831812000,21831690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21832020000,21831898000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21832228000,21832106000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21832436000,21832314000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21832636000,21832518000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
