timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
176323090,176321326,43973845,36.4533956,127.4065695,26.93292,28.46148,-0.8316976,-0.00019583842,0.0002981637,-4.5001507e-05,0.014917032,-0.006376764,-0.025877248,-0.04335256,0.040229075,0.0045862254,0.07276097,0.05022346,0.013692285,-0.04868983,-1.3042228,-0.012437099,33.46734,0.103208125,0.22731283,0.19824325,0.11802211,0.08437033,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176422167,176420747,43973845,36.4533956,127.4065695,26.934456,28.462994,-0.837917,-0.00019583842,0.0002981637,-4.5001507e-05,0.013175691,0.00027979322,-0.031549476,-0.050622,0.040229075,0.0045862254,0.07276097,0.06476159,0.17422602,-0.3054043,-1.3038172,-0.012437099,33.46734,0.097818136,0.22552203,0.19689819,0.116963126,0.08390065,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176521856,176520167,43973845,36.4533956,127.4065695,26.935736,28.464802,-0.84453464,-0.00019583842,0.0002981637,-4.5001507e-05,0.011434224,-3.889251e-05,-0.033429127,-0.053779814,0.040229075,0.0045862254,0.07276097,-0.026766542,-0.042819846,0.046428356,-1.3028178,-0.012437099,33.46734,0.100213766,0.22367917,0.19551206,0.11584003,0.08339594,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176621182,176619587,43973845,36.4533956,127.4065695,26.937468,28.466688,-0.85027313,-0.00019583842,0.0002981637,-4.5001507e-05,0.014778601,0.008650658,-0.029334242,-0.050049473,0.040229075,0.0045862254,0.07276097,0.16734062,0.111388296,0.061012518,-1.3038125,-0.012437099,33.46734,0.100931466,0.22189589,0.19415034,0.11473937,0.08290072,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176720830,176719007,43973845,36.4533956,127.4065695,26.94073,28.47016,-0.85529804,-0.00019583842,0.0002981637,-4.5001507e-05,0.019586759,0.04208393,-0.029432604,-0.05015934,0.040229075,0.0045862254,0.07276097,-0.061095465,0.72640836,0.018770078,-1.3064041,-0.012437099,33.46734,0.10239583,0.22899969,0.1992549,0.11917758,0.08484723,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176820124,176818428,43973845,36.4533956,127.4065695,26.94392,28.479197,-0.86066306,-0.00019583842,0.0002981637,-4.5001507e-05,0.016138827,0.1406048,-0.038211174,-0.058955148,0.040229075,0.0045862254,0.07276097,-0.0020387995,1.0644395,-0.04564624,-1.3093953,-0.012437099,33.46734,0.10231787,0.22710629,0.19785196,0.11803516,0.08434465,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
176919571,176917848,43973845,36.4533956,127.4065695,26.945127,28.500446,-0.8652152,-0.00019583842,0.0002981637,-4.5001507e-05,0.013501923,0.2166891,-0.024967598,-0.04529634,0.040229075,0.0045862254,0.07276097,0.2883602,-0.19895542,-0.16075954,-1.3149476,-0.012437099,33.46734,0.10326272,0.22530448,0.19650654,0.117038734,0.08387571,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177028887,177027210,43973845,36.4533956,127.4065695,26.947119,28.523632,-0.86940855,-0.00019583842,0.0002981637,-4.5001507e-05,0.02510794,0.14352602,-0.023254206,-0.043312795,0.040229075,0.0045862254,0.07276097,-0.07935429,-1.193672,0.013665883,-1.3059846,-0.012437099,33.46734,0.10094619,0.22421287,0.19571964,0.11638005,0.08359976,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177128415,177126630,43973845,36.4533956,127.4065695,26.94835,28.532158,-0.8727083,-0.00019583842,0.0002981637,-4.5001507e-05,0.016629923,-0.029503396,-0.014174839,-0.034071524,0.040229075,0.0045862254,0.07276097,0.20366406,-2.0962126,-0.038375143,-1.2818981,-0.012437099,33.46734,0.10136086,0.23150705,0.20089577,0.12080411,0.08553966,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177227751,177226051,43973845,36.4533956,127.4065695,26.952215,28.52335,-0.8747558,-0.00019583842,0.0002981637,-4.5001507e-05,0.033323903,-0.20120412,-0.017913306,-0.036340483,0.040229075,0.0045862254,0.07276097,0.046549886,-1.348502,-0.0786915,-1.2647524,-0.012437099,33.46734,0.10556209,0.22923918,0.19925901,0.11920631,0.08488782,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
