timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
258260431,258159043,-0.09964896,0.47269294,0.012037726,0.0069721946,1.072155,1.9360203,0.028078733,0.090170704
259264116,259163095,-0.19784448,0.45117176,0.01151789,0.007132032,1.3375111,1.9350576,0.0585608,0.0901711
260258221,260157193,-0.2779509,0.4442106,0.011058658,0.0073076915,1.0052719,1.9342247,0.10046048,0.0901608
261262392,261161237,-0.33753067,0.45126542,0.010736447,0.007465042,1.3079433,1.9329212,0.106140316,0.090152554
262267292,262165280,-0.389702,0.47115538,0.01058459,0.007555387,1.0236645,1.931564,0.0945075,0.09014804
263260733,263159381,-0.41694683,0.49240044,0.010572185,0.00756677,0.7699909,1.9305168,0.095393024,0.09014801
264264668,264163423,-0.42203522,0.49748766,0.010657392,0.007507542,0.701458,1.9303366,0.070974685,0.0901529
265258645,265157523,-0.4253212,0.510559,0.010780733,0.007397268,-0.11096573,1.930054,0.034252692,0.09015335
266262930,266161565,-0.426006,0.52049166,0.010915831,0.007308781,0.3597126,1.9293015,0.012384618,0.09016377
267256968,267155668,-0.42739448,0.5399428,0.011074371,0.007245794,0.88643646,1.9293647,0.026915504,0.09016049
268260800,268159713,-0.4296379,0.57354885,0.011247801,0.007201475,1.059474,1.9292915,0.0739931,0.09015974
269264939,269163757,-0.4335621,0.6108063,0.011422231,0.007166795,1.4022913,1.928958,0.07902639,0.09015846
270259901,270157860,-0.4368208,0.64779586,0.011597067,0.007133743,0.5593376,1.9284079,0.06735773,0.09017803
271264692,271161906,-0.44166747,0.67212516,0.011767911,0.0071089803,0.77877617,1.9275918,0.07208606,0.09020575
272267569,272165952,-0.4483023,0.6945442,0.011925624,0.0070915385,0.66817665,1.9273527,0.0814228,0.09022422
273261164,273160059,-0.45505315,0.70476925,0.012088222,0.0070784464,0.026269913,1.9272195,0.10357362,0.09024665
274267537,274164106,-0.4611771,0.71677583,0.012253947,0.0070690014,0.53552055,1.927086,0.08693074,0.09024177
275259414,275158213,-0.46706134,0.72458154,0.012418558,0.007057664,0.03959465,1.926772,0.097414136,0.09024048
276263479,276162261,-0.47377285,0.7242605,0.0125700915,0.00704722,0.37118816,1.9276311,0.065664604,0.09025266
277258000,277156368,-0.4803507,0.7351284,0.0127221765,0.0070358473,0.12318134,1.9264573,0.092585,0.09027692
278261717,278160416,-0.48786816,0.7416666,0.012871564,0.0070301057,0.33154106,1.9261568,0.09677722,0.09029141
279266252,279164464,-0.49798906,0.7525235,0.013007157,0.0070265373,0.35110188,1.9260209,0.08974443,0.090288594
280259884,280158570,-0.5036785,0.75894755,0.0131604085,0.007020159,0.25462246,1.9256879,0.07607832,0.090287395
281263638,281162617,-0.5094832,0.76704913,0.013310942,0.0070150737,-0.2787075,1.9261333,0.05432661,0.09031426
282257823,282156723,-0.5116823,0.77551883,0.0134533765,0.007008558,0.37670898,1.9259585,0.035952654,0.090326756
