timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
250369777,-0.22299284,0.020522848,-1.1664205,0.0,0.8301012,-0.08725252,0.069783285,-0.546305,0.5049349,0.0,0.0,0,0
250426898,-0.22899033,0.021733902,-1.1754076,0.0,0.82740664,-0.089085415,0.07232393,-0.54975563,0.5063659,0.0,0.0,0,0
250466649,-0.23027116,0.021896273,-1.1827722,0.0,0.8253242,-0.08930202,0.073072374,-0.5527438,0.50818044,0.0,0.0,0,0
250526283,-0.23165049,0.02245216,-1.1920161,0.0,0.8227145,-0.08937547,0.074096434,-0.5564734,0.5105806,0.0,0.0,0,0
250565969,-0.23184267,0.022678733,-1.1979876,0.0,0.82104707,-0.089169174,0.07450951,-0.5589086,0.51248336,0.0,0.0,0,0
250625745,-0.23090985,0.022672415,-1.2046906,0.0,0.8192105,-0.08853867,0.07454338,-0.5616923,0.5140258,0.0,0.0,0,0
250675451,-0.22994612,0.022212543,-1.2080889,0.0,0.8182846,-0.08814754,0.07423455,-0.5631426,0.5131804,0.0,0.0,0,0
250716106,-0.23287724,0.02236624,-1.2108753,0.0,0.81737363,-0.08919851,0.0752469,-0.56416464,0.5116562,0.0,0.0,0,0
250774686,-0.23972912,0.023049712,-1.2166834,0.0,0.81544244,-0.09157947,0.07772423,-0.5662383,0.5080659,0.0,0.0,0,0
250814560,-0.24458863,0.02322758,-1.2228686,0.0,0.81346846,-0.093264684,0.079460986,-0.5685567,0.5068131,0.0,0.0,0,0
250874223,-0.2504041,0.022974849,-1.2334464,0.0,0.8101688,-0.09527195,0.081516325,-0.57262987,0.50763226,0.0,0.0,0,0
250913771,-0.2530893,0.023107655,-1.2411388,0.0,0.80783635,-0.09600403,0.08270862,-0.575624,0.50826037,0.0,0.0,0,0
250973623,-0.25717518,0.023764923,-1.252128,0.0,0.80448604,-0.097000435,0.0846835,-0.5798464,0.50972754,0.0,0.0,0,0
251013336,-0.25907528,0.024185538,-1.2595785,0.0,0.8022421,-0.09732341,0.085766286,-0.5827347,0.5100366,0.0,0.0,0,0
251074180,-0.2615882,0.024760127,-1.2702916,0.0,0.79900634,-0.09769722,0.08725286,-0.58688253,0.508272,0.0,0.0,0,0
251113449,-0.26379657,0.025014333,-1.276726,0.0,0.7970148,-0.09822088,0.088318594,-0.58933866,0.5069564,0.0,0.0,0,0
251172316,-0.2659515,0.024999753,-1.2873273,0.0,0.7937733,-0.09861102,0.089471705,-0.5934598,0.5057162,0.0,0.0,0,0
251212038,-0.2645887,0.024209544,-1.2931966,0.0,0.7920676,-0.09804477,0.08904253,-0.59589225,0.5049204,0.0,0.0,0,0
251271894,-0.2653831,0.023454301,-1.2994933,0.0,0.79012203,-0.0983047,0.08929078,-0.5983899,0.5028403,0.0,0.0,0,0
251311570,-0.26863194,0.023531407,-1.3037915,0.0,0.7886765,-0.09937062,0.09050686,-0.599936,0.50092936,0.0,0.0,0,0
251372430,-0.27443945,0.02384483,-1.3117695,0.0,0.7859979,-0.10119667,0.092776194,-0.6027927,0.49772358,0.0,0.0,0,0
251410930,-0.27827916,0.024065167,-1.3184915,0.0,0.78378075,-0.10232222,0.09436407,-0.6052382,0.49605834,0.0,0.0,0,0
