timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
200234255,0,1743472127124775,10813469,364545548,1274040158,81811,101825,0.18100001,0.015104603,0.78400004,0.96500003,0.55,0.78,94,14,19.125,14.148001,12.869,1.35,0.73811644,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
200731819,0,1743472127624775,10813469,364546219,1274040817,81427,101441,0.16600001,0.013367302,0.786,0.96700007,0.53999996,0.74,94,14,18.852001,15.383,10.896001,0.483,0.61629075,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
201235809,0,1743472128124775,10813469,364546945,1274041369,81496,101510,0.158,0.011592302,0.786,0.96800005,0.51,0.75,87,8,18.859001,16.423,9.272,0.031000001,0.5139794,0,nan,0.0,0.0,0.0,0,3,1,1,1,28,0
201736033,0,1743472128624775,10813469,364547704,1274041822,81593,101607,0.13100001,0.009042202,0.78400004,0.96700007,0.5,0.7,87,8,18.757,17.142,7.6130004,-0.09,0.41793162,0,nan,0.0,0.0,0.0,0,3,1,1,1,28,0
202236818,0,1743472129124775,10813469,364548487,1274042179,81771,101785,0.128,0.008636586,0.781,0.966,0.5,0.69,82,6,18.579,17.598001,5.9570003,-0.48200002,0.3264113,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
202733844,0,1743472129624775,10813469,364549290,1274042455,82123,102137,0.133,0.010162005,0.78000003,0.96700007,0.53999996,0.71999997,82,6,18.319,17.778002,4.421,-1.1880001,0.24373262,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
203235983,0,1743472130124775,10813469,364550099,1274042673,82546,102560,0.143,0.010252413,0.781,0.96900004,0.53999996,0.71,88,6,18.419,18.018002,3.8230002,-0.80600005,0.20908363,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
203733902,0,1743472130624775,10813469,364550918,1274042872,82765,102779,0.16100001,0.0116151655,0.78200006,0.97300005,0.53999996,0.71,88,6,18.729,18.333,3.831,-0.333,0.20597765,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
204234970,0,1743472131124775,10813469,364551735,1274043160,82934,102947,0.16100001,0.010042799,0.78400004,0.98200005,0.51,0.71999997,88,11,19.188002,17.873001,6.9810004,-0.735,0.37238553,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
204732891,0,1743472131624774,10813469,364552486,1274043680,83560,103574,0.16900001,0.008987572,0.786,0.99300003,0.51,0.75,88,11,19.29,15.367001,11.659,-1.5870001,0.6490499,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
