timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1743177517541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177518541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177519541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177520541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177521541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177522541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177523541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177524541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177525541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177526541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177527541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177528541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177529541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177530541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177531541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177532541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177533541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177534541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177535541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177536541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177537541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177538541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177539541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177540541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177541541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177542541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177543541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177544541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177545541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177546541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177547541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177548541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177549541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177550541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177551541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177552541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177553541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177554541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177555541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177556541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177557541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177558541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177559541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177560541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177561541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177562541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177563541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177564541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177565541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177566541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177567541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177568541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177569541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177570541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177571541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177572037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177573037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177574037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177575037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177576037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177577037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177578037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177579037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177580037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177581037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177582037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177583037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177584037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177585037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177586037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177587037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177588037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177589037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177590037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177591037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177592037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177593037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177594037379,0,0,0,0,1,1,0,1,0,0,1,0
1743177595037379,0,0,0,0,1,1,1,0,0,0,1,0
1743177595181379,0,1,0,0,1,1,1,0,0,0,1,0
1743177595533379,0,1,1,0,1,1,1,0,0,0,1,0
1743177595869379,0,1,1,1,1,1,1,0,0,0,1,0
