timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
21735652000,0.0086445585,-0.00843726,-0.991809,0.0,0.8795313,0.0017942509,-0.005767037,-0.47580272,0.0,0.0,-0.43238774,0,0,0,0,0
21735708000,0.010107775,-0.008400713,-0.9979478,0.0,0.8780652,0.0024276862,-0.006106545,-0.4784958,0.0,0.0,-0.4321582,0,0,0,0,0
21735756000,0.009577856,-0.006944029,-0.999967,0.0,0.8775831,0.0025381765,-0.005342808,-0.4793881,0.0,0.0,-0.4330438,0,0,0,0,0
21735804000,0.010217659,-0.006625644,-1.0031152,0.0,0.87682664,0.0028868013,-0.0053610136,-0.4807681,0.0,0.0,-0.43319896,0,0,0,0,0
21735860000,0.010754671,-0.006096452,-1.0071924,0.0,0.87584394,0.003238725,-0.0052647158,-0.48255482,0.0,0.0,-0.4342634,0,0,0,0,0
21735908000,0.009793495,-0.0052526616,-1.0099744,0.0,0.8751734,0.0030149142,-0.004667494,-0.48377752,0.0,0.0,-0.43466008,0,0,0,0,0
21735956000,0.009997607,-0.0050337855,-1.0127057,0.0,0.8745116,0.0031508638,-0.0046253973,-0.48497242,0.0,0.0,-0.43532684,0,0,0,0,0
21736004000,0.010893611,-0.0051621883,-1.0147842,0.0,0.8740056,0.003506416,-0.004902457,-0.48587847,0.0,0.0,-0.43628582,0,0,0,0,0
21736052000,0.009978908,-0.0048175757,-1.0165137,0.0,0.8735866,0.0031864939,-0.0045324014,-0.48663723,0.0,0.0,-0.43571767,0,0,0,0,0
21736108000,0.009773427,-0.0045770584,-1.0194563,0.0,0.87286997,0.0031488214,-0.004381986,-0.48792315,0.0,0.0,-0.4362028,0,0,0,0,0
21736156000,0.010678598,-0.00367742,-1.0206215,0.0,0.8725837,0.0037609015,-0.004212376,-0.48843208,0.0,0.0,-0.43575898,0,0,0,0,0
21736212000,0.009967807,-0.0026864654,-1.021576,0.0,0.87235117,0.003691083,-0.00360821,-0.4888525,0.0,0.0,-0.43705887,0,0,0,0,0
21736252000,0.009592424,-0.002075433,-1.0226403,0.0,0.87209123,0.0036749756,-0.0032518962,-0.48931876,0.0,0.0,-0.43757495,0,0,0,0,0
21736308000,0.009335514,-0.0008403101,-1.0246195,0.0,0.87160605,0.003862515,-0.002654296,-0.4901846,0.0,0.0,-0.43865418,0,0,0,0,0
21736356000,0.009433262,-0.0010086143,-1.0254232,0.0,0.87140894,0.0038627577,-0.0027531534,-0.4905344,0.0,0.0,-0.44002485,0,0,0,0,0
21736404000,0.009134599,-0.0010388125,-1.0269154,0.0,0.87104326,0.0037232123,-0.0026958375,-0.49118486,0.0,0.0,-0.43964186,0,0,0,0,0
21736452000,0.0083037,-0.001528466,-1.0273756,0.0,0.8709321,0.0032404584,-0.002705775,-0.49138528,0.0,0.0,-0.43987897,0,0,0,0,0
21736508000,0.009614295,0.00026920612,-1.0296627,0.0,0.8703654,0.0042502848,-0.002249819,-0.49238297,0.0,0.0,-0.43929678,0,0,0,0,0
21736556000,0.009617455,0.00010823121,-1.0299108,0.0,0.8703045,0.004211741,-0.002321173,-0.49249062,0.0,0.0,-0.44037977,0,0,0,0,0
21736604000,0.008738582,-0.00041239866,-1.0304834,0.0,0.87016577,0.0037004265,-0.002332367,-0.49273968,0.0,0.0,-0.43989855,0,0,0,0,0
21736652000,0.008404403,0.0015240106,-1.0311773,0.0,0.86999315,0.0040316153,-0.0014089354,-0.4930454,0.0,0.0,-0.440128,0,0,0,0,0
21736708000,0.0077496027,0.0012550777,-1.0334923,0.0,0.86942345,0.0036789002,-0.0013687571,-0.49405214,0.0,0.0,-0.4413753,0,0,0,0,0
21736756000,0.0072828294,0.0017288958,-1.0343803,0.0,0.8692043,0.003592567,-0.0010490719,-0.49443904,0.0,0.0,-0.44052723,0,0,0,0,0
21736804000,0.0064842734,0.0019315295,-1.0352281,0.0,0.8689957,0.003295283,-0.0007649847,-0.49480808,0.0,0.0,-0.44052628,0,0,0,0,0
21736860000,0.007645674,0.0016785739,-1.036463,0.0,0.8686883,0.0037366094,-0.0011645361,-0.49534366,0.0,0.0,-0.440221,0,0,0,0,0
21736908000,0.008720616,0.0019241908,-1.0369992,0.0,0.868553,0.00426398,-0.0013252296,-0.49557626,0.0,0.0,-0.4416876,0,0,0,0,0
21736956000,0.007844249,0.0017548819,-1.0376682,0.0,0.8683891,0.0038410458,-0.0011828884,-0.495867,0.0,0.0,-0.44147998,0,0,0,0,0
21737004000,0.0078046853,0.002561221,-1.0383501,0.0,0.86821896,0.0040235026,-0.00082434155,-0.4961642,0.0,0.0,-0.4423189,0,0,0,0,0
21737052000,0.009079782,0.0018730125,-1.0390058,0.0,0.8680546,0.0044058324,-0.001440873,-0.49644703,0.0,0.0,-0.4433164,0,0,0,0,0
21737108000,0.008898842,0.0020921312,-1.0394816,0.0,0.86793655,0.0043813796,-0.0013018983,-0.49665403,0.0,0.0,-0.44203824,0,0,0,0,0
21737156000,0.008416853,0.002092425,-1.0396527,0.0,0.86789507,0.004172183,-0.0011824367,-0.49672857,0.0,0.0,-0.44210985,0,0,0,0,0
21737204000,0.009444293,0.002904959,-1.0399063,0.0,0.8678285,0.0048197005,-0.0010856288,-0.4968394,0.0,0.0,-0.44292426,0,0,0,0,0
21737252000,0.00964678,0.0031334413,-1.0399063,0.0,0.8678276,0.0049643205,-0.0010367879,-0.49683967,0.0,0.0,-0.4429589,0,0,0,0,0
21737308000,0.009493664,-0.0014625732,-1.0413203,0.0,0.8674827,0.0037540407,-0.0029956934,-0.49744418,0.0,0.0,-0.3979802,0,0,0,0,0
21737356000,0.009071807,-0.0016788233,-1.0421399,0.0,0.8672797,0.0035160535,-0.002986005,-0.4977998,0.0,0.0,-0.4010295,0,0,0,0,0
21737412000,0.010078122,0.0014231445,-1.0428649,0.0,0.86709356,0.0047238283,-0.001893058,-0.49811944,0.0,0.0,-0.41600907,0,0,0,0,0
21737452000,0.009758739,-0.0001264377,-1.0431215,0.0,0.86703247,0.004199107,-0.0024858706,-0.49822775,0.0,0.0,-0.425142,0,0,0,0,0
21737508000,0.008293143,0.004722382,-1.0431665,0.0,0.8670167,0.0047716475,-1.8824681e-05,-0.49825636,0.0,0.0,-0.4344209,0,0,0,0,0
21737556000,0.009428999,0.005505028,-1.0432129,0.0,0.8670005,0.005459022,3.7361777e-05,-0.49827743,0.0,0.0,-0.43982482,0,0,0,0,0
21737612000,0.008998066,0.0070407237,-1.0433398,0.0,0.8669662,0.005654847,0.0008100996,-0.49833426,0.0,0.0,-0.44416085,0,0,0,0,0
21737652000,0.009211492,0.0070441044,-1.0435869,0.0,0.866904,0.0057482994,0.00075767626,-0.49844137,0.0,0.0,-0.44627383,0,0,0,0,0
21737708000,0.010224557,0.009219931,-1.044598,0.0,0.8666423,0.0067303684,0.0014449294,-0.4988825,0.0,0.0,-0.44947147,0,0,0,0,0
21737756000,0.009619668,0.009126929,-1.0453674,0.0,0.8664526,0.006445659,0.0015530329,-0.49921542,0.0,0.0,-0.4510678,0,0,0,0,0
21737804000,0.012038258,0.009713023,-1.0462627,0.0,0.8662185,0.007640267,0.0011998303,-0.49960557,0.0,0.0,-0.45184863,0,0,0,0,0
21737852000,0.011904288,0.0117864255,-1.0472394,0.0,0.86596704,0.008101169,0.0021273796,-0.500031,0.0,0.0,-0.4528057,0,0,0,0,0
21737908000,0.0146055315,0.016952844,-1.0493089,0.0,0.86541194,0.010566033,0.0036781419,-0.50093627,0.0,0.0,-0.45623657,0,0,0,0,0
21737956000,0.017336704,0.020124638,-1.0503021,0.0,0.86512816,0.012544208,0.0043603806,-0.50137496,0.0,0.0,-0.45733675,0,0,0,0,0
21738012000,0.01955209,0.026166812,-1.0512198,0.0,0.86483854,0.015019572,0.0064119776,-0.50178444,0.0,0.0,-0.45700738,0,0,0,0,0
21738060000,0.025723115,0.037277557,-1.0526867,0.0,0.86430776,0.020480845,0.0096537275,-0.5024534,0.0,0.0,-0.46213633,0,0,0,0,0
21738108000,0.03106741,0.044505786,-1.0531193,0.0,0.86404914,0.024606852,0.011430232,-0.5026758,0.0,0.0,-0.46279514,0,0,0,0,0
21738156000,0.035132717,0.051651433,-1.0534041,0.0,0.86381996,0.028158495,0.013492674,-0.5028321,0.0,0.0,-0.4623681,0,0,0,0,0
21738204000,0.03939814,0.05972808,-1.0535512,0.0,0.8635838,0.03202879,0.015907979,-0.50293547,0.0,0.0,-0.461844,0,0,0,0,0
21738252000,0.043752577,0.06720554,-1.0536095,0.0,0.8633538,0.035785448,0.018042682,-0.5030051,0.0,0.0,-0.46128017,0,0,0,0,0
21738308000,0.055559885,0.09001379,-1.0536213,0.0,0.8625782,0.046598148,0.024925264,-0.5031563,0.0,0.0,-0.4655041,0,0,0,0,0
21738356000,0.060502768,0.09787464,-1.0517156,0.0,0.8627203,0.050672222,0.027124988,-0.5024045,0.0,0.0,-0.46373618,0,0,0,0,0
